image_name,intensity_betti_0,intensity_betti_1,edt_betti_0,edt_betti_1,method_difference_total,better_method,threshold,superlevel
MouseSlice_gaussian_0.10_median_filter,124,81,2,3,0,unknown,0.4627450980392157,False
MouseSlice_gaussian_0.10_bilateral_filter,73,41,1,3,0,unknown,0.4666666666666667,False
MouseSlice_gaussian_0.10_non_local_means,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.10_topological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_gaussian_0.10_morphological,15,1,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.01_median_filter,128,81,2,3,0,unknown,0.4666666666666667,False
MouseSlice_salt_pepper_0.01_bilateral_filter,209,69,1,3,0,unknown,0.47058823529411764,False
MouseSlice_salt_pepper_0.01_non_local_means,16,0,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.01_topological,16,0,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.01_morphological,16,0,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.03_median_filter,130,82,2,3,0,unknown,0.4666666666666667,False
MouseSlice_salt_pepper_0.03_bilateral_filter,494,155,1,3,0,unknown,0.47843137254901963,False
MouseSlice_salt_pepper_0.03_non_local_means,16,2,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.03_topological,16,2,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.03_morphological,16,2,1,2,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.05_median_filter,126,91,3,5,0,unknown,0.4666666666666667,False
MouseSlice_salt_pepper_0.05_bilateral_filter,755,245,2,3,0,unknown,0.4823529411764706,False
MouseSlice_salt_pepper_0.05_non_local_means,13,2,1,3,0,unknown,0.5372549019607843,False
MouseSlice_salt_pepper_0.05_topological,13,2,1,3,0,unknown,0.5372549019607843,False
