image_name,intensity_b0,intensity_b1,edt_b0,edt_b1
E_tree_branch_gaussian_0.08,1,0,1,1
E_tree_branch_gaussian_0.10,1,0,1,1
E_tree_branch_salt_pepper_0.01,1271,1,1,1
E_tree_branch_salt_pepper_0.03,3607,7,1,1
E_tree_branch_salt_pepper_0.05,5681,10,1,1
E_tree_branch_salt_pepper_0.08,8401,13,1,1
E_tree_branch_salt_pepper_0.10,10000,10,1,1
E_tree_branch_gaussian_0.01_median_filter,1,0,1,1
E_tree_branch_gaussian_0.01_bilateral_filter,1,0,1,1
E_tree_branch_gaussian_0.01_non_local_means,1,0,1,1
E_tree_branch_gaussian_0.01_topological,1,0,1,1
E_tree_branch_gaussian_0.01_morphological,1,0,1,1
E_tree_branch_gaussian_0.03_median_filter,1,0,1,1
E_tree_branch_gaussian_0.03_bilateral_filter,1,0,1,1
E_tree_branch_gaussian_0.03_non_local_means,1,0,1,1
E_tree_branch_gaussian_0.03_topological,1,0,1,1
E_tree_branch_gaussian_0.03_morphological,1,0,1,1
E_tree_branch_gaussian_0.05_median_filter,1,0,1,1
E_tree_branch_gaussian_0.05_bilateral_filter,1,0,1,1
E_tree_branch_gaussian_0.05_non_local_means,1,0,1,1
E_tree_branch_gaussian_0.05_topological,1,0,1,1
E_tree_branch_gaussian_0.05_morphological,1,0,1,1
E_tree_branch_gaussian_0.08_median_filter,1,0,1,1
E_tree_branch_gaussian_0.08_bilateral_filter,1,0,1,1
E_tree_branch_gaussian_0.08_non_local_means,1,0,1,1
E_tree_branch_gaussian_0.08_topological,1,0,1,1
E_tree_branch_gaussian_0.08_morphological,1,0,1,1
E_tree_branch_gaussian_0.10_median_filter,1,0,1,1
E_tree_branch_gaussian_0.10_bilateral_filter,1,0,1,1
E_tree_branch_gaussian_0.10_non_local_means,1,0,1,1
E_tree_branch_gaussian_0.10_topological,1,0,1,1
E_tree_branch_gaussian_0.10_morphological,1,0,1,1
E_tree_branch_salt_pepper_0.01_median_filter,1,0,1,1
E_tree_branch_salt_pepper_0.01_bilateral_filter,1271,1,1,1
E_tree_branch_salt_pepper_0.01_non_local_means,1,0,1,1
E_tree_branch_salt_pepper_0.01_topological,1,0,1,1
E_tree_branch_salt_pepper_0.01_morphological,1,0,1,1
E_tree_branch_salt_pepper_0.03_median_filter,1,0,1,1
E_tree_branch_salt_pepper_0.03_bilateral_filter,3607,7,1,2
E_tree_branch_salt_pepper_0.03_non_local_means,10,0,1,1
E_tree_branch_salt_pepper_0.03_topological,10,0,1,1
E_tree_branch_salt_pepper_0.03_morphological,10,0,1,1
E_tree_branch_salt_pepper_0.05_median_filter,1,0,1,1
E_tree_branch_salt_pepper_0.05_bilateral_filter,5681,10,1,7
E_tree_branch_salt_pepper_0.05_non_local_means,18,0,1,1
E_tree_branch_salt_pepper_0.05_topological,18,0,1,1
E_tree_branch_salt_pepper_0.05_morphological,18,0,1,1
E_tree_branch_salt_pepper_0.08_median_filter,1,0,1,1
E_tree_branch_salt_pepper_0.08_bilateral_filter,8401,13,1,28
E_tree_branch_salt_pepper_0.08_non_local_means,30,10,1,1
E_tree_branch_salt_pepper_0.08_topological,30,10,1,1
E_tree_branch_salt_pepper_0.08_morphological,30,10,1,1
E_tree_branch_salt_pepper_0.10_median_filter,1,0,1,1
E_tree_branch_salt_pepper_0.10_bilateral_filter,10000,10,1,83
E_tree_branch_salt_pepper_0.10_non_local_means,38,17,1,1
E_tree_branch_salt_pepper_0.10_topological,38,17,1,1
E_tree_branch_salt_pepper_0.10_morphological,38,17,1,1
F_grid_lattice_clean,1,49,1,1
F_grid_lattice_gaussian_0.01,1,49,1,1
F_grid_lattice_gaussian_0.03,1,49,1,1
F_grid_lattice_gaussian_0.05,1,49,1,1
F_grid_lattice_gaussian_0.08,1,49,50,64
F_grid_lattice_gaussian_0.10,1,49,50,64
F_grid_lattice_salt_pepper_0.01,863,354,1,1
F_grid_lattice_salt_pepper_0.03,2425,952,1,1
F_grid_lattice_salt_pepper_0.05,3829,1438,1,1
F_grid_lattice_salt_pepper_0.08,5511,2253,1,1
F_grid_lattice_salt_pepper_0.10,6498,2731,1,1
F_grid_lattice_gaussian_0.01_median_filter,1,49,1,1
F_grid_lattice_gaussian_0.01_bilateral_filter,1,49,50,64
F_grid_lattice_gaussian_0.01_non_local_means,64,49,50,64
F_grid_lattice_gaussian_0.01_topological,64,49,50,64
F_grid_lattice_gaussian_0.01_morphological,64,49,50,64
F_grid_lattice_gaussian_0.03_median_filter,1,49,1,1
F_grid_lattice_gaussian_0.03_bilateral_filter,1,49,50,65
F_grid_lattice_gaussian_0.03_non_local_means,64,49,50,64
F_grid_lattice_gaussian_0.03_topological,64,49,50,64
F_grid_lattice_gaussian_0.03_morphological,64,49,50,64
F_grid_lattice_gaussian_0.05_median_filter,1,49,1,1
F_grid_lattice_gaussian_0.05_bilateral_filter,1,49,50,65
F_grid_lattice_gaussian_0.05_non_local_means,64,49,50,64
F_grid_lattice_gaussian_0.05_topological,64,49,50,64
F_grid_lattice_gaussian_0.05_morphological,64,49,50,64
F_grid_lattice_gaussian_0.08_median_filter,1,49,1,1
F_grid_lattice_gaussian_0.08_bilateral_filter,1,49,50,64
F_grid_lattice_gaussian_0.08_non_local_means,64,49,50,64
F_grid_lattice_gaussian_0.08_topological,64,49,50,64
F_grid_lattice_gaussian_0.08_morphological,64,49,50,64
F_grid_lattice_gaussian_0.10_median_filter,1,49,1,1
F_grid_lattice_gaussian_0.10_bilateral_filter,1,49,50,67
F_grid_lattice_gaussian_0.10_non_local_means,64,49,50,64
F_grid_lattice_gaussian_0.10_topological,64,49,50,64
F_grid_lattice_gaussian_0.10_morphological,64,49,50,64
F_grid_lattice_salt_pepper_0.01_median_filter,1,49,1,1
F_grid_lattice_salt_pepper_0.01_bilateral_filter,863,354,50,66
F_grid_lattice_salt_pepper_0.01_non_local_means,64,49,50,64
F_grid_lattice_salt_pepper_0.01_topological,64,49,50,64
F_grid_lattice_salt_pepper_0.01_morphological,64,49,50,64
F_grid_lattice_salt_pepper_0.03_median_filter,1,49,1,1
F_grid_lattice_salt_pepper_0.03_bilateral_filter,2425,952,50,109
F_grid_lattice_salt_pepper_0.03_non_local_means,66,49,50,70
F_grid_lattice_salt_pepper_0.03_topological,66,49,50,70
F_grid_lattice_salt_pepper_0.03_morphological,66,49,50,70
F_grid_lattice_salt_pepper_0.05_median_filter,1,49,1,1
F_grid_lattice_salt_pepper_0.05_bilateral_filter,3829,1438,50,145
F_grid_lattice_salt_pepper_0.05_non_local_means,64,49,50,84
F_grid_lattice_salt_pepper_0.05_topological,64,49,50,84
F_grid_lattice_salt_pepper_0.05_morphological,64,49,50,84
F_grid_lattice_salt_pepper_0.08_median_filter,1,49,1,1
F_grid_lattice_salt_pepper_0.08_bilateral_filter,5511,2253,50,250
F_grid_lattice_salt_pepper_0.08_non_local_means,70,52,50,89
F_grid_lattice_salt_pepper_0.08_topological,70,52,50,89
F_grid_lattice_salt_pepper_0.08_morphological,70,52,50,89
F_grid_lattice_salt_pepper_0.10_median_filter,1,49,1,1
F_grid_lattice_salt_pepper_0.10_bilateral_filter,6498,2731,50,319
